municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;01/02/2014 00:30:27;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;01/02/2014 18:33:49;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;01/02/2014 19:30:25;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;01/02/2014 20:30:26;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;01/02/2014 21:30:36;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;01/02/2014 22:30:27;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;01/02/2014 23:30:24;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;02/02/2014 00:30:25;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;02/02/2014 01:30:06;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;02/02/2014 02:30:16;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;02/02/2014 03:30:23;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;02/02/2014 04:30:28;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;02/02/2014 05:30:28;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;02/02/2014 06:30:23;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;02/02/2014 07:30:21;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;02/02/2014 08:30:20;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;02/02/2014 09:30:21;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;02/02/2014 10:30:32;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;02/02/2014 11:30:33;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;02/02/2014 12:30:15;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;02/02/2014 13:30:35;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;02/02/2014 14:30:21;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;02/02/2014 15:30:13;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;02/02/2014 16:30:04;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;02/02/2014 17:30:32;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;02/02/2014 18:30:26;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;03/02/2014 11:24:09;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;03/02/2014 11:30:28;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;03/02/2014 12:30:06;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;03/02/2014 13:30:36;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;03/02/2014 14:30:33;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;03/02/2014 15:30:30;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;03/02/2014 16:30:23;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;03/02/2014 17:30:22;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;03/02/2014 18:30:25;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;03/02/2014 19:30:29;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;03/02/2014 20:30:42;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;03/02/2014 21:30:45;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;03/02/2014 22:30:23;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;03/02/2014 23:30:10;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;04/02/2014 00:37:02;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;04/02/2014 01:30:35;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;04/02/2014 02:30:35;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;04/02/2014 03:30:40;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;04/02/2014 04:30:32;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;04/02/2014 05:30:29;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;04/02/2014 06:30:35;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;04/02/2014 07:30:25;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;04/02/2014 08:30:41;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;04/02/2014 09:30:49;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;04/02/2014 10:30:43;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;04/02/2014 23:24:33;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;04/02/2014 23:30:45;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;05/02/2014 00:30:22;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;05/02/2014 01:30:20;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;05/02/2014 02:30:14;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;05/02/2014 03:30:04;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;05/02/2014 04:30:22;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;05/02/2014 05:30:21;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;05/02/2014 06:30:19;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;05/02/2014 07:30:22;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;05/02/2014 08:30:22;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;05/02/2014 09:30:27;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;05/02/2014 10:30:20;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;05/02/2014 11:30:29;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;05/02/2014 12:30:26;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;05/02/2014 13:30:54;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;05/02/2014 14:30:41;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;05/02/2014 15:30:32;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;05/02/2014 16:30:29;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;05/02/2014 17:30:17;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;05/02/2014 18:30:09;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;05/02/2014 19:30:13;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;05/02/2014 20:30:35;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;05/02/2014 21:30:28;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;05/02/2014 22:31:11;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;06/02/2014 14:43:45;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;06/02/2014 15:30:21;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;06/02/2014 16:30:22;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;06/02/2014 17:30:25;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;06/02/2014 18:30:27;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;06/02/2014 19:30:58;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;06/02/2014 20:30:35;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;06/02/2014 21:30:31;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;06/02/2014 22:30:22;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;06/02/2014 23:30:20;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;07/02/2014 00:30:10;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;07/02/2014 01:30:41;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;07/02/2014 02:30:23;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;07/02/2014 03:31:16;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;07/02/2014 04:30:17;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;07/02/2014 05:30:30;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;07/02/2014 06:30:21;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;07/02/2014 07:30:28;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;07/02/2014 08:30:20;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;07/02/2014 09:31:12;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;07/02/2014 10:36:29;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;07/02/2014 11:30:33;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;07/02/2014 12:30:09;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;07/02/2014 13:33:45;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;07/02/2014 14:30:24;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;08/02/2014 02:07:50;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;08/02/2014 02:30:20;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;08/02/2014 03:30:03;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;08/02/2014 04:30:24;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;08/02/2014 05:30:32;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;08/02/2014 06:30:34;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;08/02/2014 07:30:21;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;08/02/2014 08:30:38;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;08/02/2014 09:30:25;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;08/02/2014 10:30:31;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;08/02/2014 11:30:21;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;08/02/2014 12:30:04;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;08/02/2014 13:31:16;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;08/02/2014 14:32:31;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;08/02/2014 15:30:22;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;08/02/2014 16:30:17;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;08/02/2014 17:30:03;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;08/02/2014 18:30:22;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;08/02/2014 19:30:20;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;08/02/2014 20:30:29;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;08/02/2014 21:30:20;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;08/02/2014 22:30:24;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;08/02/2014 23:30:26;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;09/02/2014 00:30:22;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;09/02/2014 01:30:21;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;09/02/2014 21:03:32;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;09/02/2014 21:30:31;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;09/02/2014 22:30:49;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;09/02/2014 23:31:54;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;10/02/2014 00:30:27;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;10/02/2014 01:30:15;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;10/02/2014 02:30:35;0,0
Brumadinho;310900607A;MG;Centro;-44,198;-20,142;10/02/2014 03:30:31;0,0
