codEstacao;municipio;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
310900602A;BRUMADINHO;MG;Progresso;-44,216;-20,146;03/01/2015 14:00:00;0,0;
310900602A;BRUMADINHO;MG;Progresso;-44,216;-20,146;03/01/2015 15:00:00;0,0;
310900602A;BRUMADINHO;MG;Progresso;-44,216;-20,146;03/01/2015 16:00:00;0,0;
310900602A;BRUMADINHO;MG;Progresso;-44,216;-20,146;03/01/2015 19:10:00;0,0;
310900602A;BRUMADINHO;MG;Progresso;-44,216;-20,146;03/01/2015 19:20:00;0,0;
310900602A;BRUMADINHO;MG;Progresso;-44,216;-20,146;03/01/2015 19:30:00;0,0;
310900602A;BRUMADINHO;MG;Progresso;-44,216;-20,146;03/01/2015 19:50:00;0,0;
310900602A;BRUMADINHO;MG;Progresso;-44,216;-20,146;03/01/2015 19:40:00;0,2;
310900602A;BRUMADINHO;MG;Progresso;-44,216;-20,146;03/01/2015 17:20:00;3,1493362312412216;
310900602A;BRUMADINHO;MG;Progresso;-44,216;-20,146;03/01/2015 16:10:00;0,0;
310900602A;BRUMADINHO;MG;Progresso;-44,216;-20,146;03/01/2015 16:20:00;0,0;
310900602A;BRUMADINHO;MG;Progresso;-44,216;-20,146;03/01/2015 16:30:00;0,0;
310900602A;BRUMADINHO;MG;Progresso;-44,216;-20,146;03/01/2015 16:40:00;0,0;
310900602A;BRUMADINHO;MG;Progresso;-44,216;-20,146;03/01/2015 16:50:00;0,0;
310900602A;BRUMADINHO;MG;Progresso;-44,216;-20,146;03/01/2015 17:00:00;0,0;
310900602A;BRUMADINHO;MG;Progresso;-44,216;-20,146;03/01/2015 17:10:00;0,0;
310900602A;BRUMADINHO;MG;Progresso;-44,216;-20,146;03/01/2015 17:30:00;7,298164479203763;
310900602A;BRUMADINHO;MG;Progresso;-44,216;-20,146;03/01/2015 17:40:00;4,135559353421218;
310900602A;BRUMADINHO;MG;Progresso;-44,216;-20,146;03/01/2015 18:00:00;0,2;
310900602A;BRUMADINHO;MG;Progresso;-44,216;-20,146;03/01/2015 17:50:00;1,1780400000000002;
