municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-10-01 00:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-10-01 00:10:00.0;0,20;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-10-01 00:20:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-10-01 01:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-10-01 02:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-10-01 02:10:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-10-01 02:20:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-10-01 02:30:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-10-01 02:40:00.0;0,20;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-10-01 02:50:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-10-01 03:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-10-01 04:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-10-01 05:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-10-01 06:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-10-01 07:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-10-01 08:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-10-01 09:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-10-01 10:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-10-01 11:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-10-01 12:00:00.0;0,00;
