municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
Brumadinho;310900604A;MG;Rua Prefeito Maciel;-44,023;-20,165;01/04/2014 00:00:00;0,0
Brumadinho;310900604A;MG;Rua Prefeito Maciel;-44,023;-20,165;01/04/2014 01:00:00;0,0
Brumadinho;310900604A;MG;Rua Prefeito Maciel;-44,023;-20,165;01/04/2014 01:10:00;0,2
Brumadinho;310900604A;MG;Rua Prefeito Maciel;-44,023;-20,165;01/04/2014 01:20:00;0,0
Brumadinho;310900604A;MG;Rua Prefeito Maciel;-44,023;-20,165;01/04/2014 02:00:00;0,0
Brumadinho;310900604A;MG;Rua Prefeito Maciel;-44,023;-20,165;01/04/2014 03:00:00;0,0
Brumadinho;310900604A;MG;Rua Prefeito Maciel;-44,023;-20,165;01/04/2014 04:00:00;0,0
Brumadinho;310900604A;MG;Rua Prefeito Maciel;-44,023;-20,165;01/04/2014 05:00:00;0,0
Brumadinho;310900604A;MG;Rua Prefeito Maciel;-44,023;-20,165;01/04/2014 06:00:00;0,0
Brumadinho;310900604A;MG;Rua Prefeito Maciel;-44,023;-20,165;01/04/2014 07:00:00;0,0
Brumadinho;310900604A;MG;Rua Prefeito Maciel;-44,023;-20,165;01/04/2014 08:00:00;0,0
Brumadinho;310900604A;MG;Rua Prefeito Maciel;-44,023;-20,165;01/04/2014 09:00:00;0,0
Brumadinho;310900604A;MG;Rua Prefeito Maciel;-44,023;-20,165;01/04/2014 10:00:00;0,0
Brumadinho;310900604A;MG;Rua Prefeito Maciel;-44,023;-20,165;01/04/2014 11:00:00;0,0
Brumadinho;310900604A;MG;Rua Prefeito Maciel;-44,023;-20,165;01/04/2014 12:00:00;0,0
Brumadinho;310900604A;MG;Rua Prefeito Maciel;-44,023;-20,165;01/04/2014 13:00:00;0,0
Brumadinho;310900604A;MG;Rua Prefeito Maciel;-44,023;-20,165;01/04/2014 14:00:00;0,0
Brumadinho;310900604A;MG;Rua Prefeito Maciel;-44,023;-20,165;01/04/2014 15:00:00;0,0
Brumadinho;310900604A;MG;Rua Prefeito Maciel;-44,023;-20,165;01/04/2014 16:00:00;0,0
Brumadinho;310900604A;MG;Rua Prefeito Maciel;-44,023;-20,165;01/04/2014 17:00:00;0,0
