municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;01/09/2014 00:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;01/09/2014 01:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;01/09/2014 02:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;01/09/2014 03:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;01/09/2014 04:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;01/09/2014 05:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;01/09/2014 06:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;01/09/2014 07:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;01/09/2014 08:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;01/09/2014 09:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;01/09/2014 10:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;01/09/2014 11:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;01/09/2014 12:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;01/09/2014 13:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;01/09/2014 14:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;01/09/2014 15:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;01/09/2014 16:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;01/09/2014 17:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;01/09/2014 18:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;01/09/2014 19:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;01/09/2014 20:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;01/09/2014 21:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;01/09/2014 22:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;01/09/2014 23:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/09/2014 00:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/09/2014 01:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/09/2014 02:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/09/2014 03:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/09/2014 04:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/09/2014 05:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/09/2014 06:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/09/2014 07:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/09/2014 08:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/09/2014 09:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/09/2014 10:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/09/2014 11:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/09/2014 12:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/09/2014 13:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/09/2014 14:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/09/2014 15:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/09/2014 16:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/09/2014 17:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/09/2014 18:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/09/2014 19:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/09/2014 20:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/09/2014 21:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/09/2014 22:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/09/2014 23:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;03/09/2014 00:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;03/09/2014 01:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;03/09/2014 02:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;03/09/2014 03:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;03/09/2014 04:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;03/09/2014 05:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;03/09/2014 06:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;03/09/2014 07:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;03/09/2014 07:10:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;03/09/2014 07:20:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;03/09/2014 07:30:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;03/09/2014 07:40:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;03/09/2014 07:50:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;03/09/2014 08:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;03/09/2014 08:10:00;0,2
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;03/09/2014 08:20:00;0,5890200000000001
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;03/09/2014 08:30:00;0,39268000000000003
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;03/09/2014 08:40:00;0,2
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;03/09/2014 08:50:00;0,5890200000000001
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;03/09/2014 09:00:00;0,39268000000000003
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;03/09/2014 09:10:00;0,5890200000000001
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;03/09/2014 09:20:00;0,39268000000000003
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;03/09/2014 09:30:00;0,39268000000000003
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;03/09/2014 09:40:00;0,39268000000000003
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;03/09/2014 09:50:00;0,5890200000000001
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;03/09/2014 10:00:00;0,39268000000000003
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;03/09/2014 10:10:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;03/09/2014 10:20:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;03/09/2014 10:30:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;03/09/2014 10:40:00;0,2
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;03/09/2014 10:50:00;0,2
