municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 09:30:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 09:40:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 09:50:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 10:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 10:10:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 10:20:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 10:30:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 10:40:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 10:50:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 11:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 11:10:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 11:20:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 11:30:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 11:40:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 11:50:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 12:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 12:10:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 12:20:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 12:30:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 12:40:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 12:50:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 13:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 13:10:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 13:20:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 13:30:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 13:40:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 13:50:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 14:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 14:10:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 14:20:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 14:30:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 14:40:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 14:50:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 15:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 15:10:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 15:20:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 15:30:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 15:40:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 15:50:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 16:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 16:10:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 16:20:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 16:30:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 16:40:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 16:50:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 17:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 17:10:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 17:20:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 17:30:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 17:40:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 17:50:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 18:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 18:10:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 18:20:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 18:30:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 18:40:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 18:50:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 19:00:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 19:10:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 19:20:00;0,0
BRUMADINHO;310900602A;MG;Progresso;-44,216;-20,146;02/07/2014 19:30:00;0,0
